"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3369617,"December 5, 2025",Florida,Clermont,"13322 Excalibur Rd",0,0,0,0,2,N/A
3369607,"December 5, 2025",Florida,Jacksonville,"8000 block of Holiday Rd S",0,1,0,0,0,N/A
3369589,"December 5, 2025",Mississippi,Jackson,"2800 block of Revere St",1,1,0,0,0,N/A
3370077,"December 5, 2025","New Mexico",Portales,"927 W 17th St",0,1,0,0,0,N/A
3369646,"December 5, 2025",Georgia,Tifton,"800 block of Lee Ave",0,2,0,0,1,N/A
3370516,"December 5, 2025",Alabama,Montgomery,"E Vandiver Blvd",0,1,0,0,0,N/A
3370134,"December 5, 2025","North Dakota","Grand Forks","1400 block of 10th Ave N",0,0,0,1,0,N/A
3370127,"December 5, 2025","South Carolina",Greenville,"W Morgan St",1,0,1,0,0,N/A
3369989,"December 5, 2025",Illinois,Chicago,"3800 block of W Adams St",1,0,0,0,0,N/A
3370113,"December 5, 2025",Oklahoma,"Oklahoma City","2350 S Independence Ave",1,0,0,0,1,N/A
3369517,"December 5, 2025",Connecticut,Hartford,"Park River Dr",0,1,0,0,0,N/A
3369751,"December 5, 2025","District of Columbia",Washington,"300 Morse St NE",1,0,0,0,0,N/A
3369508,"December 5, 2025","South Carolina",Sumter,"Childrens Ln",0,1,0,0,1,N/A
3369501,"December 5, 2025",Louisiana,Leesville,"Hughes Rd and W Hawthorne Rd",1,0,0,0,1,N/A
3370088,"December 5, 2025",Wisconsin,Milwaukee,"W Olive St and N Port Washington Ave",0,1,0,0,0,N/A
3369496,"December 5, 2025","South Carolina",Union,"683 Rice Ave Ext",0,4,0,0,0,N/A
3370453,"December 5, 2025",Maryland,Rockville,"11211 Old Georgetown Rd",0,0,0,0,1,N/A
3369806,"December 5, 2025",Maryland,Baltimore,"1700 block of Montpelier St",0,1,0,0,0,N/A
3369359,"December 5, 2025",Pennsylvania,Philadelphia,"2800 block of Hope St",1,0,0,0,1,N/A
3370059,"December 5, 2025",Florida,Kissimmee,"1040 Jamison Loop",0,0,1,0,0,N/A
3370345,"December 5, 2025",Arizona,Avondale,"S 107th Ave and W Buckeye Rd",0,2,0,0,0,N/A
3370090,"December 5, 2025",Utah,"Saint George","449 S 1100 E",1,0,0,0,1,N/A
3370047,"December 5, 2025",Florida,Miami,"3100 block of NW 28th St",0,2,0,0,0,N/A
3369700,"December 5, 2025",Illinois,"Granite City","2000 block of Johnson St",0,1,0,0,1,N/A
3370011,"December 5, 2025",Connecticut,Ledyard,"40 block of Fanning Rd",0,1,0,0,0,N/A
3370008,"December 5, 2025",California,Salinas,"1200 block of Camarillo Ct",1,0,0,0,0,N/A
3370294,"December 5, 2025",Illinois,Peoria,"1700 block of W Lincoln Ave",0,2,0,1,0,N/A
3369299,"December 5, 2025",Illinois,Chicago,"500 block of W 76th St",0,1,0,0,0,N/A
3369944,"December 5, 2025",Virginia,"Rocky Mount","1400 block of Patti Rd",2,0,0,0,0,N/A
3370287,"December 5, 2025",Pennsylvania,Philadelphia,"4900 block of Parkside Ave",0,1,1,0,0,N/A
3370284,"December 5, 2025",Oregon,Wilsonville,"SW 65th Ave and SW Stafford Rd",0,0,1,0,0,N/A
3369917,"December 5, 2025",Washington,Tacoma,"E 62nd St and E McKinley Ave",0,1,0,0,0,N/A
3369919,"December 5, 2025","North Carolina",Charlotte,"Orchard Trace Ln and Panorama Ave",0,1,0,0,0,N/A
3370274,"December 5, 2025",Oregon,Medford,"Stevens St and Mary St",0,1,0,0,0,N/A
3369848,"December 5, 2025",Tennessee,Memphis,"4791 Willow Rd",0,1,0,0,0,N/A
3369199,"December 4, 2025",Georgia,Atlanta,"1800 block of Rollingwood Dr SE",0,1,0,0,0,N/A
3369187,"December 4, 2025",Georgia,"Atlanta (Sandy Springs)","8000 block of Dunwoody Pl",0,0,1,0,0,N/A
3369788,"December 4, 2025",Ohio,Dayton,"50 block of Wroe Ave",0,1,0,0,0,N/A
3369689,"December 4, 2025",Ohio,Sandusky,"617 Jackson St",0,0,0,0,1,N/A
3369742,"December 4, 2025",Maryland,Baltimore,"1000 block of W Lombard St",0,2,0,0,0,N/A
3369125,"December 4, 2025",California,"Apple Valley","21600 block of Corwin Rd",0,1,0,0,0,N/A
3369104,"December 4, 2025",Texas,Dallas,"1200 block of Hillburn Dr",0,1,0,0,1,N/A
3369148,"December 4, 2025",Texas,Houston,"5842 W 34th St",0,0,0,1,0,N/A
